date,close,logp,bde,csw_excess,sadf,qadf,cadf,smt,bde_retro_flag,csw_retro_flag,sadf_retro_flag,smt_retro_flag,family_count_retro,consensus_retro,bde_online_flag,csw_online_flag,sadf_online_flag,smt_online_flag,family_count_online,consensus_online
2025-09-21,50.89,3.9296664406007413,2.0270091733676106,-0.5075895900345013,-1.3692672339024474,-1.4176872786178185,-1.3861031307406633,1.3315410450536072,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-22,47.278,3.856045071018689,1.916801262829695,0.002927036091551649,-1.5438216657398558,-1.5913386767202673,-1.5595666441801443,1.3262702837530174,0,1,0,0,1,0,0,1,0,0,1,0
2025-09-23,44.671,3.7993245215025313,1.7410727862654836,0.26652310986318817,-1.5298725626823797,-1.6152403639172195,-1.5650583028809673,1.2996433956038602,0,1,0,0,1,0,0,1,0,0,1,0
2025-09-24,45.646,3.8209159799816854,1.5986594957144897,-0.20185212726084023,-1.5549679172533342,-1.6084604339555737,-1.574618603957972,1.2828318945866692,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-25,40.414,3.6991762595913045,1.320931385105676,0.5528949161764274,-1.4454305433547736,-1.5086673554777625,-1.456488541046974,1.2130048660298804,0,1,0,0,1,0,0,1,0,0,1,0
2025-09-26,44.827,3.8028106364545735,1.1809866933975353,0.10315065342114504,-1.689952689920742,-1.722233027305822,-1.7033597570150192,1.193504604040559,0,1,0,0,1,0,0,1,0,0,1,0
2025-09-27,45.75,3.82319179172153,1.0684591353334598,-0.39216150080579815,-1.7093666723449066,-1.7383589977928011,-1.7217957823705374,1.181540710887268,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-28,47.171,3.8537792969866556,0.9918779480379147,-0.4400453919931393,-1.7220885180436765,-1.7484176789639854,-1.7331804286028365,1.1787930886690507,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-29,46.19,3.832763324442514,0.8940243502412532,-0.9849084414542142,-1.7465805191069188,-1.7742037337416947,-1.7580878600438554,1.1700375276234456,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-30,45.22,3.811539466849824,0.7762514017646068,-1.010236335403048,-1.7603788856656386,-1.7893256106948678,-1.7723181470027736,1.1550434996832248,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-01,47.233,3.8550928008406027,0.7080465668805739,-1.130203857650816,-1.7805980872448535,-1.806517987144093,-1.7909731177394255,1.1529077974309827,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-02,50.811,3.928112866577094,0.7167706085634363,-0.5015729757456531,-1.7174772985252236,-1.736447965134552,-1.7244161758836865,1.1660987100623639,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-03,49.431,3.900577757743404,0.6938545521501218,-1.026362871787335,-1.7855999639532028,-1.8066331677313068,-1.7932328525227104,1.1737815551317257,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-04,49.121,3.8942866419378483,0.6628676166828847,-1.1785169369891473,-1.8072733346624756,-1.8281947668961018,-1.8145562241413036,1.179817103447563,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-05,48.195,3.8752552812359315,0.6108054168232734,-1.4001958919922004,-1.8455181172089064,-1.8676713390410027,-1.8530818163564202,1.1812485054838706,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-06,47.213,3.854669278398171,0.537069861617815,-1.6038716157201247,-1.8773254994817712,-1.9008994807032933,-1.8852670871580888,1.177332350626698,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-07,45.123,3.809392094341186,0.41710588974394003,-1.1438784841499294,-1.9021199949941916,-1.9289363590853275,-1.9113878123243204,1.160423361158543,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-08,46.645,3.8425657404129243,0.3358252523682949,-1.410138120092805,-1.9275374520613353,-1.9526148474982052,-1.9356751074521887,1.153667663577709,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-09,43.965,3.7833938628309656,0.19535731569231207,-0.8379575353594437,-1.9334494827749056,-1.9623617992218858,-1.9432910028930597,1.129499043844376,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-10,37.735,3.6305880457368316,-0.09343757426609918,1.1053886736141068,-1.597664770859162,-1.6616711669739617,-1.6380791749598473,1.0483032083092232,0,1,0,0,1,0,0,1,0,0,1,0
2025-10-11,36.828,3.6062584254255996,-0.3742087978692787,0.522668110094691,-1.3581329937012263,-1.503994181686048,-1.4196584415064157,0.9683599874194607,0,1,0,0,1,0,0,1,0,0,1,0
2025-10-12,39.621,3.679359280729777,-0.5605571818932128,-0.5938517978029241,-1.6767001293312827,-1.820529172570363,-1.7606060296107833,0.9235271463005198,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-13,42.424,3.7477142398348287,-0.675731131634416,-0.18711963450402092,-1.922196525351485,-2.0106772541427818,-1.966831972643532,0.9031774540936984,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-14,39.39,3.6735119769828146,-0.8472344573000351,-0.5851099606293053,-1.6553834846365187,-1.8186393927377036,-1.7152946936035771,0.9508930229963637,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-15,37.364,3.6207076740106023,-1.0495515225688121,-0.41461775664492784,-1.3866135462641396,-1.5258191917516952,-1.4267703314867377,1.0072591598037015,0,0,0,0,0,0,0,0,0,0,0,0
